 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 
   299    2.647          12.000        1542.000         793.000;
   300    2.656          12.000        1542.000         793.000;
   301    2.665          12.000        1542.000         793.000;
   302    2.674          12.000        1542.000         793.000;
   303    2.683          12.000        1542.000         793.000;
   304    2.692          12.000        1542.000         793.000;
   305    2.701          12.000        1542.000         793.000;
   306    2.709          12.000        1542.000         793.000;
   307    2.718          12.000        1542.000         793.000;
   308    2.727          12.000        1542.000         793.000;
   309    2.736          12.000        1542.000         793.000;
   310    2.745          12.000        1542.000         793.000;
   311    2.754          12.000        1542.000         793.000;
   312    2.763          12.000        1542.000         793.000;
   313    2.771          12.000        1542.000         793.000;
   314    2.780          12.000        1542.000         793.000;
   315    2.789          12.000        1542.000         793.000;
   316    2.798          12.000        1542.000         793.000;
   317    2.807          12.000        1542.000         793.000;
   318    2.816          12.000        1542.000         793.000;
   319    2.824          12.000        1542.000         793.000;
   320    2.833          12.000        1542.000         793.000;
   321    2.842          12.000        1542.000         793.000;
   322    2.851          12.000        1542.000         793.000;
   323    2.860          12.000        1542.000         793.000;
   324    2.869          12.000        1542.000         793.000;
   325    2.878          12.000        1542.000         793.000;
   326    2.886          12.000        1542.000         793.000;
   327    2.895          12.000        1542.000         793.000;
   328    2.904          12.000        1542.000         793.000;
   329    2.913          12.000        1542.000         793.000;
   330    2.922          12.000        1542.000         793.000;
   331    2.931          12.000        1542.000         793.000;
   332    2.940          12.000        1542.000         793.000;
   333    2.948          12.000        1542.000         793.000;
   334    2.957          12.000        1542.000         793.000;
   335    2.966          12.000        1542.000         793.000;
   336    2.975          12.000        1542.000         793.000;
   337    2.984          12.000        1542.000         793.000;
   338    2.993          12.000        1542.000         793.000;
   339    3.002          12.000        1542.000         793.000;
   340    3.010          12.000        1542.000         793.000;
   341    3.019          12.000        1542.000         793.000;
   342    3.028          12.000        1542.000         793.000;
   343    3.037          12.000        1542.000         793.000;
   344    3.046          12.000        1542.000         793.000;
   345    3.055          12.000        1542.000         793.000;
   346    3.064          12.000        1542.000         793.000;
   347    3.072          12.000        1542.000         793.000;
   348    3.081          12.000        1542.000         793.000;
   349    3.090          12.000        1542.000         793.000;
   350    3.099          12.000        1542.000         793.000;
   351    3.108          12.000        1542.000         793.000;
   352    3.117          12.000        1542.000         793.000;
   353    3.126          12.000        1542.000         793.000;
   354    3.134          12.000        1542.000         793.000;
   355    3.143          12.000        1542.000         793.000;
   356    3.152          12.000        1542.000         793.000;
   357    3.161          12.000        1542.000         793.000;
   358    3.170          12.000        1542.000         793.000;
   359    3.179          12.000        1542.000         793.000;
   360    3.188          12.000        1542.000         793.000;
   361    3.196          12.000        1542.000         793.000;
   362    3.205          12.000        1542.000         793.000;
   363    3.214          12.000        1542.000         793.000;
   364    3.223          12.000        1542.000         793.000;
   365    3.232          12.000        1542.000         793.000;
   366    3.241          12.000        1542.000         793.000;
   367    3.249          12.000        1542.000         793.000;
   368    3.258          12.000        1542.000         793.000;
   369    3.267          12.000        1542.000         793.000;
   370    3.276          12.000        1542.000         793.000;
   371    3.285          12.000        1542.000         793.000;
   372    3.294          12.000        1542.000         793.000;
   373    3.303          12.000        1542.000         793.000;
   374    3.311          12.000        1542.000         793.000;
   375    3.320          12.000        1542.000         793.000;
   376    3.329          12.000        1542.000         793.000;
   377    3.338          12.000        1542.000         793.000;
   378    3.347          12.000        1542.000         793.000;
   379    3.356          12.000        1542.000         793.000;
   380    3.365          12.000        1542.000         793.000;
   381    3.373          12.000        1542.000         793.000;
   382    3.382          12.000        1542.000         793.000;
   383    3.391          12.000        1542.000         793.000;
